entry,exit,period,cap,atr,regime,n,trades_per_year,excess,z,win,unit,per_trade_pct
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,<3,bear,657,905,0.109,2.4,0.852,ATR,0.28
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,3-5,all,1504,2072,0.159,6.8,0.886,ATR,0.6
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,3-5,bull,816,1124,0.068,2.0,0.857,ATR,0.25
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,3-5,bear,688,948,0.266,8.5,0.92,ATR,1.01
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,5-8,all,572,788,0.113,2.9,0.825,ATR,0.71
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,5-8,bull,300,413,0.041,0.8,0.783,ATR,0.27
STRUCTURE,scalp +0.5/−3 10b,in-sample,all,5-8,bear,272,375,0.193,3.4,0.871,ATR,1.19
STRUCTURE,scalp +0.5/−3 10b,in-sample,500M-2B,all,all,481,663,0.097,2.2,0.842,ATR,0.38
STRUCTURE,scalp +0.5/−3 10b,in-sample,500M-2B,all,bull,272,375,0.061,1.1,0.831,ATR,0.23
STRUCTURE,scalp +0.5/−3 10b,in-sample,500M-2B,all,bear,209,288,0.144,2.0,0.856,ATR,0.57
STRUCTURE,scalp +0.5/−3 10b,in-sample,500M-2B,3-5,all,196,270,0.077,1.1,0.862,ATR,0.26
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,all,all,1153,1589,0.07,2.3,0.845,ATR,0.45
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,all,bull,667,919,0.062,1.7,0.837,ATR,0.27
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,all,bear,486,670,0.083,1.7,0.856,ATR,0.7
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,<3,all,334,460,-0.032,-0.5,0.817,ATR,-0.06
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,<3,bull,197,271,0.059,0.8,0.853,ATR,0.19
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,3-5,all,488,672,0.092,2.1,0.867,ATR,0.37
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,3-5,bull,290,400,0.043,0.8,0.841,ATR,0.18
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,3-5,bear,198,273,0.163,2.3,0.904,ATR,0.65
STRUCTURE,scalp +0.5/−3 10b,in-sample,2B-5B,5-8,all,223,307,0.138,2.3,0.843,ATR,0.95
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,all,all,2432,3351,0.168,9.1,0.879,ATR,0.63
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,all,bull,1370,1888,0.102,4.1,0.863,ATR,0.3
STRUCTURE,scalp +0.5/−3 10b,in-sample,>5B,all,bear,1062,1463,0.253,9.1,0.9,ATR,1.05
