tier,f,N,sample,final,cagr,max_dd,taken,signalled,per_week,avg_open,skip_no_slot,skip_held,skip_no_headroom,skip_atr_zero,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026
E,0.02,5,full,774928.1404963202,0.22733375366062325,0.5169826666678641,307,16528,0.5886058614078334,4.659108989657915,13002,168,3051,0,0.13406953986084869,0.16959870642424835,0.08554442592221845,0.20216907345874047,1.566566167181684,-0.07889062336181363,-0.2798118062638246,0.4159229345324933,0.486615074328683,0.014268956675288491,0.23160307918132705
E,0.02,5,oos,217986.9843432929,0.33309275123991733,0.5673243174042002,91,4916,0.6434343434343435,4.68575624082232,3641,44,1140,0,,,,,,,,,0.9007616855063971,-0.068823240584022,0.2316030791813266
E,0.02,10,full,1096170.4767001574,0.2706634361678879,0.554787664093563,303,16528,0.580936729663106,4.881066030230708,0,175,16050,0,0.13406953986084869,0.20095217855201186,0.10331498382444271,0.42258629377296164,2.7740067498092587,-0.26260459431205574,-0.15927086564462345,0.1868142282541989,0.8139321221196285,-0.2734700008774732,0.4012577889489568
E,0.02,10,oos,238479.28078186754,0.37802283816807325,0.559817725731743,88,4916,0.6222222222222222,4.955947136563877,0,48,4780,0,,,,,,,,,0.9908108346026891,-0.0198048179784287,0.2221037989886021
E,0.02,20,full,1096170.4767001574,0.2706634361678879,0.554787664093563,303,16528,0.580936729663106,4.881066030230708,0,175,16050,0,0.13406953986084869,0.20095217855201186,0.10331498382444271,0.42258629377296164,2.7740067498092587,-0.26260459431205574,-0.15927086564462345,0.1868142282541989,0.8139321221196285,-0.2734700008774732,0.4012577889489568
E,0.02,20,oos,238479.28078186754,0.37802283816807325,0.559817725731743,88,4916,0.6222222222222222,4.955947136563877,0,48,4780,0,,,,,,,,,0.9908108346026891,-0.0198048179784287,0.2221037989886021
F,0.005,5,full,311396.08875937184,0.1203444908917004,0.4219844661290171,295,2902,0.5655984661736511,4.209626093874304,2301,306,0,0,0.023406215735230163,0.5410655092286139,-0.15502933455481405,0.044338276386492126,0.7119567400652067,-0.06505358775292991,-0.27075603836763784,0.2688684141855988,0.1649016170266624,-0.01445895317752699,0.31591632805474057
F,0.005,5,oos,167011.12534007584,0.20831329422878664,0.2777182092490894,93,1196,0.6575757575757576,4.665198237885463,1012,91,0,0,,,,,,,,,0.21540899092830612,0.04422643158532957,0.3159163280596178
F,0.005,10,full,959559.9260203459,0.25385569918552475,0.5439655831562815,510,2902,0.9778142974527527,7.332140015910899,1849,543,0,0,-0.0001370177397742589,0.5061161510532906,-0.2321464305249752,0.37270872848537495,1.2897041621527268,-0.09466586111065678,-0.3448213193569123,0.4417647746740563,0.6895144765548926,0.13074352205189,0.6160242726211842
F,0.005,10,oos,259035.1593727725,0.42070632540410213,0.43820471213200696,174,1196,1.2303030303030305,9.208516886930983,849,173,0,0,,,,,,,,,0.4175219022624055,0.1307876541406252,0.6160242726211476
F,0.005,20,full,5725154.252370728,0.49917018759705334,0.6649504792841519,684,2902,1.3114215283483976,10.091885441527447,204,873,1141,0,-0.0001370177397742589,0.5061161510532906,-0.22874456981053648,0.3600068333700417,3.505634113646374,0.2629960479004585,-0.4184120285141263,0.8990344380676965,2.086200141091889,0.00019272821432547715,0.8682498784094861
F,0.005,20,oos,625378.305224381,0.9666562030425281,0.6226201315974418,265,1196,1.873737373737374,13.856093979441997,101,344,486,0,,,,,,,,,1.9950204048914078,0.11765577996551091,0.8682498550788817
F,0.01,5,full,610257.4611416232,0.1983497298484116,0.665609193678088,295,2902,0.5655984661736511,4.209626093874304,2301,306,0,0,0.04677717964088868,1.0263602392139304,-0.24497772700440112,0.08060431894122555,1.5763182910654256,-0.1304811453141922,-0.4838214529182232,0.5149762052715947,0.3209727698293947,-0.07826337132679417,0.6532203384644639
F,0.01,5,oos,223835.83610301,0.3461790306327599,0.4500997285634384,93,1196,0.6575757575757576,4.665198237885463,1012,91,0,0,,,,,,,,,0.31507486106582916,0.029552275579576515,0.6532203387424813
F,0.01,10,full,7547501.7597875595,0.5411945733176353,0.7132380868630517,415,2902,0.7956724185154752,6.167859984089101,626,509,1352,0,0.01878845232301063,0.9365821714941767,-0.3248755411697747,0.5622255498714905,4.857532321684947,0.4946825331147078,-0.5154651508883621,1.3871904995962332,1.4691447558784478,0.17250863820427265,0.2371357303438728
F,0.01,10,oos,406813.6131014374,0.678146988925854,0.5864529840280353,147,1196,1.0393939393939395,7.324522760646109,252,174,623,0,,,,,,,,,1.187230132957335,0.21736339498098567,0.5278501387711734
F,0.01,20,full,10003397.290121328,0.5852469528686732,0.7717613073971946,436,2902,0.8359353601752945,6.375099443118536,2,543,1921,0,0.01878845232301063,0.9365821714941767,-0.3248755411697747,0.5622255498714905,6.92695175424908,0.25438581031692564,-0.540562059680125,1.4562030419767162,4.045811725124305,-0.4312052287965784,0.49274247332267196
F,0.01,20,oos,329116.8425463212,0.5519253788089697,0.7419129124589432,156,1196,1.103030303030303,7.766519823788546,0,187,853,0,,,,,,,,,2.4499256430971696,-0.3609196225475604,0.4927424734541519
F,0.02,5,full,906306.9315170723,0.2467140661260745,0.8017935154457116,283,2902,0.5425910709394687,4.087509944311853,2161,297,161,0,0.016545583573125855,1.3943420248193754,-0.26237951515805846,0.11104347087777833,2.5668405097551665,-0.29870142161195457,-0.6372139266315451,1.0099087935315616,1.0454020549994016,-0.15435097680695065,0.44017672828563015
