suite,signal,exit,symbol,tf,net_profit_pct,profit_factor,win_rate,max_dd_pct,trades,avg_trade_pct,bh_pct,alpha_pct,tpw,bear_pnl_pct,bull_pnl_pct,short_pnl_pct,exposure_pct,robustness,overfit_risk,raw
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:SLNH,D,343.77,2.565,31.82,43.99,22.0,,-94.96,438.73,0.0484,50.66,293.11,0.0,13.47,0.79,0.79,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+34,376.96USD+343.77%', 'Max drawdown': '8,029.61USD43.99%', 'Profitable trades': '31.82%7/22', 'Profit factor': '2.565', 'Total trades': '22'}"
homily,Dragon hole D,Chandelier 3 ATR,NASDAQ:CLSK,D,433.43,2.877,41.67,28.59,24.0,,-8.99,442.42,0.0535,31.87,401.56,0.0,14.99,1.5,0.75,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+43,342.82USD+433.43%', 'Max drawdown': '10,592.12USD28.59%', 'Profitable trades': '41.67%10/24', 'Profit factor': '2.877', 'Total trades': '24'}"
homily,Dragon hole E,Hole broke down,NASDAQ:MRNA,D,314.16,2.881,43.75,55.58,16.0,,728.17,-557.11,0.0394,77.73,93.38,0.0,29.41,0.3,0.83,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+31,416.44USD+314.16%', 'Max drawdown': '5,557.54USD55.58%', 'Profitable trades': '43.75%7/16', 'Profit factor': '2.881', 'Total trades': '16'}"
homily,Dragon hole E,Hole broke down,NASDAQ:PLTR,D,67.05,1.521,21.43,81.52,14.0,,1769.89,-1702.84,0.045,3.27,63.78,0.0,25.95,0.01,0.89,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+6,705.11USD+67.05%', 'Max drawdown': '8,151.78USD81.52%', 'Profitable trades': '21.43%3/14', 'Profit factor': '1.521', 'Total trades': '14'}"
homily,Dragon hole E,Hole broke down,NASDAQ:NVDA,D,315.48,5.609,52.94,19.68,17.0,,4359.89,-4044.74,0.0374,77.25,237.95,0.0,40.32,1.13,0.75,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+31,548.19USD+315.48%', 'Max drawdown': '3,265.44USD19.68%', 'Profitable trades': '52.94%9/17', 'Profit factor': '5.609', 'Total trades': '17'}"
homily,Dragon hole E,Hole broke down,NASDAQ:INTC,D,141.97,2.32,38.89,83.16,18.0,,131.8,10.16,0.0396,-15.26,157.22,0.0,29.77,0.12,0.81,"C | Intel Corporation | 1D ‖ {'Total PnL': '+14,196.76USD+141.97%', 'Max drawdown': '8,316.10USD83.16%', 'Profitable trades': '38.89%7/18', 'Profit factor': '2.32', 'Total trades': '18'}"
homily,Dragon hole E,Hole broke down,NASDAQ:IREN,D,357.44,4.524,50.0,32.9,10.0,,90.92,266.52,0.0396,0.0,357.44,0.0,33.06,0.58,0.78,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+35,743.92USD+357.44%', 'Max drawdown': '4,925.58USD32.90%', 'Profitable trades': '50.00%5/10', 'Profit factor': '4.524', 'Total trades': '10'}"
homily,Dragon hole E,Hole broke down,NASDAQ:ONDS,D,387.01,3.558,40.0,156.95,10.0,,-45.26,432.27,0.0243,-75.29,462.3,0.0,26.75,0.01,0.88,"C | Ondas Inc | 1D ‖ {'Total PnL': '+38,701.41USD+387.01%', 'Max drawdown': '15,695.35USD156.95%', 'Profitable trades': '40.00%4/10', 'Profit factor': '3.558', 'Total trades': '10'}"
homily,Dragon hole E,Hole broke down,NASDAQ:SLNH,D,336.89,2.798,40.0,73.02,15.0,,-94.96,431.85,0.033,5.07,331.82,0.0,27.94,0.08,0.84,"C | Soluna Holdings, Inc. | 1D ‖ {'Total PnL': '+33,688.75USD+336.89%', 'Max drawdown': '7,886.01USD73.02%', 'Profitable trades': '40.00%6/15', 'Profit factor': '2.798', 'Total trades': '15'}"
homily,Dragon hole E,Hole broke down,NASDAQ:CLSK,D,170.19,1.686,37.5,99.02,16.0,,-8.99,179.19,0.0357,-82.66,252.85,0.0,29.14,0.01,0.88,"C | CleanSpark, Inc. | 1D ‖ {'Total PnL': '+17,019.35USD+170.19%', 'Max drawdown': '10,963.01USD99.02%', 'Profitable trades': '37.50%6/16', 'Profit factor': '1.686', 'Total trades': '16'}"
homily,Dragon hole E,Chandelier 3 ATR,NASDAQ:MRNA,D,320.64,5.467,52.38,46.53,21.0,,728.17,-407.53,0.0517,99.64,221.0,0.0,18.26,0.65,0.81,"C | Moderna, Inc. | 1D ‖ {'Total PnL': '+32,064.43USD+320.64%', 'Max drawdown': '4,652.54USD46.53%', 'Profitable trades': '52.38%11/21', 'Profit factor': '5.467', 'Total trades': '21'}"
homily,Dragon hole E,Chandelier 3 ATR,NASDAQ:PLTR,D,133.89,2.701,35.71,37.93,14.0,,1769.89,-1636.01,0.045,30.08,103.81,0.0,23.02,0.55,0.81,"C | Palantir Technologies Inc. | 1D ‖ {'Total PnL': '+13,388.89USD+133.89%', 'Max drawdown': '3,792.52USD37.93%', 'Profitable trades': '35.71%5/14', 'Profit factor': '2.701', 'Total trades': '14'}"
homily,Dragon hole E,Chandelier 3 ATR,NASDAQ:NVDA,D,243.27,4.267,38.1,18.43,21.0,,4359.89,-4116.62,0.0462,78.91,164.36,0.0,30.09,1.28,0.78,"C | NVIDIA Corporation | 1D ‖ {'Total PnL': '+24,326.98USD+243.27%', 'Max drawdown': '3,523.52USD18.43%', 'Profitable trades': '38.10%8/21', 'Profit factor': '4.267', 'Total trades': '21'}"
homily,Dragon hole E,Chandelier 3 ATR,NASDAQ:INTC,D,135.97,2.868,40.91,48.4,22.0,,131.8,4.16,0.0484,116.21,19.75,0.0,17.63,0.62,0.76,"C | Intel Corporation | 1D ‖ {'Total PnL': '+13,596.68USD+135.97%', 'Max drawdown': '5,043.95USD48.40%', 'Profitable trades': '40.91%9/22', 'Profit factor': '2.868', 'Total trades': '22'}"
homily,Dragon hole E,Chandelier 3 ATR,NASDAQ:IREN,D,288.57,3.048,31.25,25.54,16.0,,90.92,197.65,0.0634,0.0,288.57,0.0,21.52,1.03,0.79,"C | IREN LIMITED | 1D ‖ {'Total PnL': '+28,857.37USD+288.57%', 'Max drawdown': '6,622.44USD25.54%', 'Profitable trades': '31.25%5/16', 'Profit factor': '3.048', 'Total trades': '16'}"
